train_acc,valid_acc,test_acc,test_mid_0_acc,test_mid_1_acc,test_mid_2_acc,test_mid_3_acc,test_mid_4_acc,test_mid_5_acc,test_mid_6_acc,test_mid_7_acc,test_mid_8_acc,test_mid_9_acc
0.745682,0.7385349999999999,0.89538,0.77795,0.80415,0.81975,0.86275,0.87305,0.8592,0.86675,0.85755,0.85535,0.8602
0.7884720000000001,0.77873,0.886485,0.7478,0.7781,0.80465,0.8532,0.8566,0.8538,0.8659,0.8375,0.84695,0.8412
0.816843,0.80421,0.88187,0.7313000000000001,0.7661,0.80345,0.8399,0.8465,0.84495,0.8657,0.83325,0.8354,0.835
0.837488,0.822815,0.882235,0.73075,0.76135,0.7979499999999999,0.82995,0.84345,0.84295,0.86305,0.83045,0.8313,0.8305
0.85327,0.836895,0.88145,0.72705,0.75415,0.7975,0.8263,0.8364,0.84355,0.8623000000000001,0.8356,0.8331,0.8331999999999999
0.865708,0.847425,0.88005,0.7232000000000001,0.7562,0.7973,0.8271,0.83415,0.842,0.8621,0.83335,0.82155,0.83135
0.875708,0.85593,0.8795,0.7201,0.75575,0.79355,0.82875,0.83235,0.8415,0.86145,0.8341000000000001,0.8190500000000001,0.8279
0.884537,0.8628899999999999,0.879065,0.7179,0.7492,0.7913,0.8265,0.8303,0.842,0.8644499999999999,0.83285,0.8209,0.8282499999999999
0.891493,0.86843,0.878005,0.71785,0.74855,0.7908,0.8253,0.83185,0.8427,0.8651,0.83185,0.82045,0.8271
0.898402,0.873545,0.878435,0.7170000000000001,0.74885,0.7891,0.8262,0.82885,0.8412,0.8622,0.8316,0.8234,0.82765
0.90438,0.87832,0.877955,0.71185,0.7452,0.78945,0.8264,0.8279,0.84185,0.8653500000000001,0.8307,0.82185,0.82435
0.9090483,0.8824,0.87788,0.71355,0.74595,0.7868999999999999,0.8251,0.8282,0.8422000000000001,0.8649,0.83175,0.8192,0.82395
0.91429,0.88629,0.87795,0.7113,0.7431,0.78445,0.82315,0.82955,0.83975,0.864,0.83335,0.8175,0.8202
0.91894,0.8902950000000001,0.878085,0.7091000000000001,0.7438,0.7838499999999999,0.82365,0.83005,0.83905,0.86675,0.8311,0.81555,0.81985
0.9232633,0.893085,0.8780749999999999,0.7096,0.74335,0.7826500000000001,0.8240000000000001,0.8298,0.84095,0.8653500000000001,0.8321000000000001,0.81425,0.82165
0.927045,0.896065,0.878505,0.7101500000000001,0.7421,0.78395,0.8228,0.83065,0.84155,0.8648,0.83115,0.8138,0.8217
0.9304917,0.8984,0.87845,0.7069,0.74305,0.7843,0.8234,0.83205,0.8412999999999999,0.86225,0.8327,0.81435,0.81995
0.9337317,0.900915,0.879005,0.7059,0.7431,0.7826,0.82345,0.8302,0.84405,0.86325,0.83435,0.8154,0.81775
0.93675,0.90248,0.87891,0.7045,0.74335,0.78015,0.82335,0.8328,0.8445,0.8634999999999999,0.83455,0.8155,0.8170999999999999
0.9395867,0.904565,0.87884,0.7048,0.74415,0.7807999999999999,0.8248,0.8327,0.84385,0.86175,0.83575,0.8133,0.815
0.9422267,0.90596,0.87832,0.7052499999999999,0.7431,0.77855,0.82385,0.8323,0.84375,0.8612,0.8358,0.81125,0.8149
0.9450183,0.90817,0.8781950000000001,0.7054,0.7425999999999999,0.7797499999999999,0.82495,0.83155,0.84445,0.8608,0.8372999999999999,0.8099000000000001,0.8152
