train_auc,valid_auc,test_auc,test_mid_0_auc,test_mid_1_auc,test_mid_2_auc,test_mid_3_auc,test_mid_4_auc,test_mid_5_auc,test_mid_6_auc,test_mid_7_auc,test_mid_8_auc,test_mid_9_auc
0.833137,0.823775,0.650197,0.653569,0.689202,0.678139,0.678093,0.805827,0.708632,0.741399,0.738627,0.719903,0.581651
0.880443,0.868517,0.669871,0.65574,0.704306,0.672326,0.70429,0.801935,0.723974,0.751638,0.741147,0.738832,0.607554
0.906624,0.893342,0.678494,0.662235,0.730538,0.677303,0.698675,0.797368,0.724578,0.753244,0.738326,0.732529,0.614129
0.923406,0.908722,0.691413,0.67569,0.741147,0.687249,0.687117,0.792822,0.723884,0.747365,0.748683,0.743291,0.621987
0.935797,0.920285,0.697441,0.684121,0.745153,0.694956,0.687988,0.787909,0.722184,0.749205,0.750245,0.747589,0.640385
0.944639,0.928499,0.701955,0.681302,0.758213,0.694705,0.692423,0.788497,0.723252,0.752557,0.757904,0.742103,0.637437
0.951788,0.935171,0.704213,0.685983,0.755396,0.699879,0.696439,0.787055,0.727944,0.753606,0.760404,0.74973,0.635551
0.957729,0.940564,0.709396,0.680875,0.74836,0.69398,0.693046,0.784811,0.722693,0.754013,0.769522,0.756474,0.643418
0.962157,0.944636,0.710173,0.681478,0.744995,0.694348,0.690782,0.785192,0.719921,0.752309,0.767733,0.759891,0.649726
0.966355,0.948612,0.712978,0.680269,0.746094,0.694531,0.689393,0.782278,0.712448,0.752077,0.770708,0.762259,0.673539
0.969878,0.951979,0.71483,0.684345,0.742905,0.697136,0.693087,0.782067,0.711576,0.755186,0.765964,0.759468,0.673206
0.972549,0.95452,0.715979,0.685636,0.744226,0.700001,0.694246,0.781498,0.707261,0.758643,0.765664,0.753931,0.672906
0.975307,0.957135,0.719796,0.685846,0.745431,0.697826,0.695856,0.777938,0.702268,0.757241,0.769402,0.755161,0.670126
0.97768,0.959443,0.721276,0.684732,0.745731,0.699208,0.700238,0.778737,0.698013,0.756763,0.769999,0.757226,0.674591
0.979683,0.961246,0.721381,0.687252,0.746928,0.69648,0.700589,0.777823,0.696495,0.756422,0.771517,0.759918,0.676975
0.981531,0.963039,0.723604,0.693627,0.749315,0.697158,0.696281,0.773009,0.695778,0.751275,0.772479,0.767785,0.684681
0.983034,0.964478,0.723425,0.693037,0.75247,0.697699,0.703443,0.772634,0.695655,0.750936,0.771914,0.767689,0.685304
0.984492,0.965933,0.725789,0.686607,0.75402,0.69809,0.701087,0.772121,0.698656,0.752206,0.775954,0.767573,0.684688
0.985787,0.96709,0.725478,0.686043,0.753899,0.698439,0.704721,0.771781,0.698558,0.751563,0.775125,0.765803,0.680782
0.986946,0.968309,0.726802,0.685152,0.752983,0.696073,0.707154,0.765551,0.697992,0.751444,0.774231,0.764594,0.681978
0.98798,0.969366,0.726951,0.684801,0.751682,0.693237,0.704546,0.759988,0.696325,0.751602,0.772481,0.759905,0.680012
0.989032,0.970443,0.727339,0.68333,0.749233,0.69344,0.705389,0.759931,0.69394,0.75043,0.7746,0.761707,0.681212
0.989854,0.971313,0.727404,0.683509,0.746643,0.692124,0.706986,0.758594,0.691673,0.751189,0.775107,0.75899,0.677359
0.990683,0.972196,0.727502,0.680961,0.744939,0.693053,0.711309,0.758287,0.693059,0.750761,0.775642,0.758984,0.674554
0.991409,0.972957,0.727351,0.682892,0.746651,0.690674,0.713785,0.758077,0.693774,0.746828,0.774133,0.756679,0.672495
0.992023,0.973624,0.728624,0.680798,0.742215,0.689535,0.713882,0.759996,0.694223,0.747431,0.772865,0.763044,0.673217
0.992665,0.97432,0.728821,0.681185,0.742724,0.690553,0.714539,0.761639,0.694593,0.747691,0.773794,0.763559,0.671189
0.993263,0.974956,0.729513,0.681355,0.742047,0.690757,0.712807,0.762112,0.695606,0.745551,0.773773,0.767327,0.672132
0.993821,0.975577,0.729739,0.682499,0.741402,0.688307,0.712735,0.761621,0.694323,0.745469,0.774925,0.769982,0.670821
0.994312,0.976212,0.730491,0.682269,0.742958,0.685249,0.710289,0.761363,0.691623,0.749991,0.774445,0.77034,0.670113
0.994805,0.976792,0.730966,0.684668,0.742244,0.684809,0.711481,0.762389,0.691859,0.748524,0.775543,0.769471,0.674098
0.995284,0.977343,0.729552,0.683362,0.742708,0.683847,0.711635,0.761739,0.692861,0.748775,0.777307,0.766815,0.67584
0.995626,0.977769,0.729595,0.682747,0.74134,0.682798,0.710475,0.762213,0.694205,0.748901,0.773951,0.764307,0.676181
0.995924,0.978116,0.729833,0.682393,0.742216,0.683698,0.71008,0.762741,0.693193,0.749527,0.774219,0.763152,0.677761
0.996289,0.978544,0.730381,0.68384,0.742001,0.682159,0.711569,0.763772,0.694664,0.749112,0.772287,0.764769,0.673651
0.996592,0.978958,0.730077,0.684219,0.742574,0.682374,0.711847,0.763794,0.691707,0.748984,0.775882,0.763232,0.67278
0.996921,0.979392,0.729453,0.684135,0.742023,0.681852,0.712412,0.763077,0.690763,0.750918,0.773627,0.765543,0.674704
0.997154,0.97976,0.728984,0.686302,0.741966,0.68225,0.712049,0.763116,0.692642,0.749121,0.772354,0.762142,0.673347
0.99738,0.980081,0.728723,0.688109,0.742716,0.684452,0.713015,0.763428,0.693451,0.749362,0.772405,0.762848,0.671628
0.997606,0.980367,0.728268,0.687142,0.741084,0.68288,0.712563,0.763797,0.692115,0.746212,0.772193,0.763541,0.668893
0.997829,0.980708,0.728191,0.687695,0.74092,0.683102,0.712679,0.763191,0.690949,0.746018,0.771628,0.763767,0.669162
0.998,0.980983,0.726852,0.689072,0.742744,0.683656,0.71059,0.763163,0.690498,0.744782,0.770544,0.764378,0.667916
0.998159,0.981251,0.727465,0.689886,0.743487,0.682377,0.713684,0.762384,0.691464,0.744553,0.769388,0.76506,0.668715
0.998305,0.981477,0.727249,0.689329,0.743041,0.682352,0.714364,0.76117,0.690501,0.744005,0.771565,0.764627,0.665912
0.99845,0.981744,0.726396,0.690544,0.742773,0.682939,0.71365,0.759811,0.689902,0.74149,0.771223,0.761554,0.663674
0.99857,0.981973,0.726219,0.68925,0.74424,0.681185,0.714003,0.758929,0.689199,0.742682,0.769174,0.762932,0.663422
0.998717,0.982254,0.726165,0.690676,0.745784,0.680324,0.713793,0.758043,0.687934,0.742942,0.76845,0.7607,0.665498
0.99883,0.982485,0.72649,0.691825,0.746802,0.681181,0.71422,0.758789,0.687721,0.742514,0.768809,0.759446,0.666798
0.998922,0.982676,0.726714,0.693131,0.743424,0.680743,0.714578,0.759564,0.688919,0.742271,0.76592,0.759654,0.6673
0.999017,0.982855,0.727457,0.693683,0.742018,0.680463,0.712787,0.759502,0.688898,0.742067,0.764349,0.75948,0.665571
0.999102,0.98302,0.727024,0.692261,0.741784,0.680102,0.713639,0.759368,0.68889,0.742213,0.76539,0.76043,0.664466
0.999172,0.983173,0.726735,0.693952,0.742981,0.680645,0.71458,0.758894,0.69052,0.742126,0.764771,0.760375,0.663715
0.999249,0.983339,0.726796,0.695755,0.743761,0.679968,0.712346,0.759455,0.691435,0.743164,0.76597,0.757018,0.662273
0.99931,0.983491,0.726708,0.695827,0.74437,0.683377,0.711904,0.759236,0.69138,0.741764,0.765476,0.75667,0.663076
0.999379,0.983665,0.727037,0.695289,0.744062,0.68337,0.712242,0.760291,0.690473,0.741096,0.763691,0.758193,0.663418
0.999447,0.983835,0.726776,0.695519,0.744298,0.681189,0.712342,0.760364,0.687297,0.741718,0.763225,0.76003,0.660802
0.999508,0.984004,0.727182,0.693465,0.744197,0.680351,0.712795,0.760425,0.687305,0.742471,0.762681,0.759578,0.658874
0.999554,0.98416,0.727029,0.694727,0.744702,0.680401,0.714244,0.760625,0.688407,0.742297,0.761239,0.759634,0.658688
0.999593,0.98429,0.7268,0.693523,0.744575,0.681575,0.713121,0.760004,0.687656,0.742027,0.76023,0.7585,0.658055
0.999626,0.984399,0.726875,0.692514,0.744274,0.681628,0.712886,0.759914,0.688493,0.743119,0.75903,0.758457,0.659379
0.999662,0.984523,0.726521,0.69166,0.743937,0.681372,0.712491,0.760234,0.686907,0.742171,0.756707,0.759,0.660758
0.999697,0.984684,0.727204,0.692187,0.742224,0.68049,0.713046,0.758716,0.685324,0.741963,0.757065,0.759368,0.659237
0.999726,0.984779,0.726895,0.692146,0.741554,0.6808,0.713175,0.759337,0.684902,0.742589,0.756508,0.758444,0.660083
0.999751,0.984883,0.726477,0.693632,0.742427,0.68116,0.712385,0.759198,0.684559,0.743003,0.757258,0.756102,0.658718
0.999776,0.984991,0.726728,0.695112,0.742063,0.679047,0.711856,0.760311,0.685746,0.742133,0.754853,0.755377,0.657551
0.999795,0.985082,0.72704,0.694903,0.742788,0.678744,0.710246,0.761708,0.686902,0.74273,0.754628,0.755421,0.657918
0.999824,0.985218,0.726711,0.695605,0.744778,0.679324,0.710524,0.762169,0.685348,0.742872,0.754784,0.753875,0.657312
0.999846,0.98536,0.726876,0.695325,0.745755,0.680336,0.712207,0.762102,0.685035,0.744185,0.753678,0.750946,0.659398
0.999866,0.98548,0.726659,0.694662,0.74526,0.678887,0.711634,0.761431,0.685207,0.744596,0.753833,0.752381,0.659514
0.999881,0.985575,0.72657,0.695348,0.746237,0.678973,0.712603,0.761895,0.684893,0.744464,0.753379,0.751651,0.660249
0.999894,0.985662,0.726387,0.693892,0.747128,0.678447,0.712782,0.762462,0.684197,0.74395,0.753518,0.750428,0.659352
0.999906,0.985752,0.726829,0.692113,0.74735,0.677208,0.712525,0.760953,0.683993,0.743938,0.753796,0.751825,0.65751
0.999919,0.985858,0.725396,0.691875,0.747955,0.6773,0.711903,0.761148,0.68448,0.743227,0.753284,0.750949,0.656029
0.999928,0.98594,0.725553,0.691282,0.750023,0.676439,0.711964,0.762051,0.683865,0.742792,0.752186,0.752786,0.656303
0.999935,0.986005,0.725067,0.690898,0.749647,0.676793,0.712491,0.76198,0.682391,0.741607,0.751915,0.751551,0.656615
0.999943,0.986083,0.725084,0.690999,0.749587,0.67703,0.712305,0.763166,0.682621,0.741987,0.753305,0.752249,0.657381
0.99995,0.986171,0.725277,0.690784,0.74987,0.676056,0.713198,0.763946,0.683476,0.742144,0.752105,0.751067,0.657222
0.999955,0.986255,0.725196,0.689782,0.749504,0.675322,0.71399,0.763592,0.683218,0.743292,0.752395,0.750598,0.657619
0.999961,0.986333,0.724913,0.68999,0.749768,0.675613,0.713528,0.764144,0.683018,0.743782,0.752194,0.750413,0.656766
0.999966,0.986403,0.724581,0.688861,0.749981,0.675794,0.714586,0.764551,0.682985,0.744832,0.750917,0.750387,0.658104
0.999969,0.986463,0.724504,0.690639,0.751095,0.678076,0.713519,0.764041,0.68148,0.744427,0.750479,0.750528,0.655729
0.999972,0.986513,0.724783,0.689299,0.749315,0.67723,0.713699,0.763538,0.680692,0.743574,0.751036,0.74993,0.656075
0.999975,0.986586,0.72455,0.689641,0.74946,0.676769,0.712923,0.763122,0.681727,0.743093,0.751891,0.750151,0.656937
0.999978,0.986624,0.724753,0.691152,0.749546,0.676663,0.713926,0.763852,0.681985,0.743409,0.751944,0.750608,0.65683
0.999981,0.986687,0.724509,0.691962,0.750475,0.676792,0.713607,0.763872,0.683029,0.743943,0.752029,0.750215,0.655059
0.999983,0.986738,0.723488,0.691708,0.750597,0.677949,0.713492,0.763889,0.68352,0.743838,0.753234,0.750154,0.655502
0.999985,0.986794,0.723031,0.691467,0.751002,0.677079,0.713321,0.763546,0.684135,0.743012,0.75521,0.748229,0.655953
0.999987,0.986862,0.722445,0.692157,0.749477,0.676851,0.712507,0.763585,0.682761,0.742462,0.755213,0.748117,0.654026
0.999988,0.986911,0.722538,0.690938,0.74946,0.677217,0.715108,0.763766,0.683177,0.742625,0.754727,0.748391,0.655955
0.999989,0.986963,0.72239,0.690001,0.749823,0.678208,0.713304,0.764057,0.682712,0.743175,0.756037,0.749351,0.655825
0.99999,0.987021,0.722135,0.68952,0.748966,0.679532,0.713488,0.763865,0.682962,0.743828,0.756164,0.749945,0.656047
0.999991,0.987068,0.721874,0.689598,0.749579,0.680567,0.714651,0.764077,0.683391,0.74337,0.755457,0.749069,0.656422
0.999992,0.987111,0.722034,0.688975,0.748191,0.680812,0.714631,0.763697,0.683095,0.743536,0.756444,0.748704,0.656064
0.999993,0.987155,0.722204,0.689473,0.747531,0.680046,0.715857,0.762438,0.682399,0.743931,0.755818,0.749703,0.654912
0.999994,0.987205,0.722851,0.688476,0.747974,0.677992,0.714739,0.76341,0.682185,0.74327,0.754426,0.749558,0.655355
0.999994,0.987246,0.722936,0.686796,0.747623,0.678649,0.716739,0.76373,0.682494,0.743237,0.753341,0.749935,0.655148
0.999995,0.987278,0.722917,0.685927,0.746737,0.679387,0.717383,0.76367,0.683116,0.743898,0.753119,0.749018,0.654787
0.999995,0.98731,0.722441,0.68569,0.746806,0.679123,0.717293,0.763501,0.682885,0.744222,0.752359,0.749599,0.655137
0.999996,0.987337,0.722198,0.686203,0.747857,0.67846,0.718158,0.762554,0.682459,0.744432,0.751798,0.74795,0.65366
0.999996,0.987379,0.722545,0.686085,0.74997,0.68029,0.717316,0.762832,0.683898,0.744069,0.750916,0.750233,0.654589
