train_logloss,valid_logloss,test_logloss,test_mid_0_logloss,test_mid_1_logloss,test_mid_2_logloss,test_mid_3_logloss,test_mid_4_logloss,test_mid_5_logloss,test_mid_6_logloss,test_mid_7_logloss,test_mid_8_logloss,test_mid_9_logloss
0.533149,0.539533,0.461134,0.584575,0.552876,0.528969,0.508285,0.502569,0.506997,0.489995,0.514062,0.504295,0.508335
0.476003,0.486117,0.434425,0.602594,0.555252,0.530534,0.491489,0.490171,0.490232,0.465502,0.512816,0.491656,0.500219
0.435448,0.448723,0.416603,0.615211,0.557743,0.525358,0.485155,0.477398,0.48297,0.454469,0.5059,0.491482,0.494573
0.406266,0.422526,0.400808,0.61086,0.559129,0.526555,0.485871,0.472246,0.475736,0.440191,0.496511,0.483183,0.486874
0.380182,0.399244,0.389875,0.61371,0.558509,0.521875,0.482652,0.467486,0.468779,0.428097,0.488052,0.47491,0.478652
0.359342,0.380864,0.383448,0.617878,0.555083,0.524131,0.479171,0.463168,0.464959,0.424698,0.484025,0.476582,0.47608
0.340819,0.36462,0.376425,0.614516,0.555531,0.523252,0.47408,0.462222,0.456386,0.418665,0.475586,0.473531,0.471491
0.324717,0.351009,0.370785,0.617573,0.560898,0.525167,0.474301,0.459586,0.453977,0.414596,0.474548,0.468991,0.46937
0.311332,0.339755,0.367578,0.617977,0.560286,0.527232,0.474068,0.456373,0.452735,0.412805,0.474567,0.46604,0.46893
0.297605,0.328028,0.363459,0.620842,0.559974,0.528349,0.47491,0.455997,0.449452,0.411338,0.475679,0.462556,0.468488
0.285761,0.318209,0.360706,0.623696,0.561706,0.528678,0.473126,0.453283,0.447099,0.406644,0.474483,0.460678,0.467601
0.275782,0.309938,0.358526,0.628599,0.563413,0.535238,0.476776,0.455353,0.446561,0.405171,0.472607,0.461701,0.467901
0.26495,0.301113,0.355171,0.629635,0.564931,0.537044,0.475321,0.450146,0.446577,0.401342,0.4709,0.463513,0.46539
0.25555,0.293394,0.352492,0.634004,0.567198,0.538676,0.476525,0.448147,0.448336,0.400191,0.471249,0.464077,0.465261
0.247626,0.287337,0.350627,0.633873,0.567168,0.540744,0.475995,0.447589,0.443953,0.398667,0.469341,0.463944,0.460978
0.239064,0.280449,0.348954,0.634368,0.566406,0.541832,0.478995,0.447943,0.441425,0.398153,0.47175,0.461882,0.462499
0.231962,0.27492,0.347397,0.637651,0.565168,0.54499,0.476737,0.446928,0.440982,0.397861,0.470288,0.461465,0.462852
0.224558,0.269073,0.344585,0.638371,0.566345,0.546468,0.477495,0.445937,0.435288,0.394395,0.467461,0.461438,0.464732
0.218153,0.264399,0.343091,0.63808,0.565332,0.547836,0.475841,0.443072,0.432805,0.393187,0.465328,0.460739,0.464759
0.211489,0.259129,0.342698,0.643448,0.567248,0.553251,0.474808,0.447948,0.434422,0.396437,0.465046,0.466953,0.470236
0.205622,0.254655,0.342106,0.644085,0.566535,0.553618,0.477124,0.448841,0.43525,0.395156,0.464949,0.468189,0.469735
0.199517,0.250078,0.340704,0.645461,0.566891,0.553926,0.476296,0.448463,0.435855,0.393311,0.462957,0.467681,0.469527
0.194225,0.246111,0.339779,0.647708,0.566246,0.555109,0.475588,0.447213,0.437798,0.392494,0.464997,0.46687,0.469863
0.188787,0.242034,0.339565,0.651032,0.56743,0.556459,0.473747,0.447425,0.436321,0.391887,0.467195,0.467461,0.470841
0.183969,0.238501,0.339032,0.652437,0.568511,0.559114,0.472469,0.447985,0.435538,0.393546,0.466292,0.467429,0.472401
0.179413,0.235128,0.338307,0.657725,0.570422,0.563913,0.469258,0.446761,0.435317,0.39204,0.465667,0.464702,0.473589
0.174634,0.231688,0.336617,0.65888,0.569249,0.562524,0.470347,0.446541,0.436175,0.392704,0.463961,0.463796,0.474017
0.170262,0.228624,0.335493,0.661965,0.569138,0.563705,0.469674,0.447453,0.434572,0.392391,0.462847,0.463806,0.472604
0.165917,0.225564,0.335088,0.662524,0.569463,0.564806,0.470945,0.446733,0.436963,0.392903,0.462681,0.46207,0.47119
0.161469,0.222262,0.334055,0.662504,0.570116,0.567828,0.470977,0.444743,0.438286,0.390138,0.46231,0.464022,0.469693
0.157206,0.219238,0.332955,0.667247,0.569994,0.572173,0.469965,0.443429,0.437379,0.390835,0.463002,0.464058,0.469121
0.15299,0.216413,0.332571,0.67005,0.570521,0.572571,0.470019,0.441911,0.435172,0.389766,0.463321,0.464994,0.467652
0.149417,0.213857,0.332273,0.672106,0.57056,0.57506,0.470614,0.443276,0.435106,0.389422,0.467551,0.468185,0.467696
0.146269,0.21177,0.331813,0.672417,0.571322,0.575952,0.470567,0.442846,0.433708,0.388832,0.467073,0.46622,0.467132
0.142614,0.209341,0.330693,0.670824,0.569732,0.576458,0.468157,0.441398,0.431323,0.387436,0.467174,0.466421,0.466737
0.139146,0.206962,0.32974,0.673795,0.570735,0.577666,0.467209,0.440365,0.432702,0.386298,0.46523,0.468179,0.465026
0.13563,0.204604,0.329013,0.675713,0.571294,0.578545,0.466622,0.44072,0.432824,0.384931,0.464938,0.468324,0.464495
0.132491,0.202363,0.328895,0.676924,0.572583,0.580054,0.465546,0.439945,0.430976,0.385427,0.464916,0.470006,0.465838
0.129433,0.200245,0.328483,0.675756,0.571821,0.580817,0.466046,0.440715,0.428673,0.385359,0.463988,0.468958,0.466961
0.126573,0.198466,0.328467,0.679292,0.574984,0.585888,0.469383,0.441398,0.4288,0.386477,0.464912,0.467739,0.466798
0.123425,0.19639,0.328144,0.679183,0.573989,0.588057,0.468497,0.441983,0.427779,0.386897,0.464242,0.468117,0.467465
0.120775,0.194625,0.328243,0.68032,0.576262,0.588707,0.46983,0.444042,0.427833,0.387833,0.466584,0.469715,0.468442
0.118055,0.192781,0.327903,0.678256,0.577197,0.589522,0.468512,0.444505,0.428185,0.387727,0.467465,0.469736,0.468768
0.115527,0.191192,0.327734,0.680822,0.579087,0.591546,0.468915,0.4444,0.427526,0.388526,0.468403,0.469439,0.469961
0.112959,0.189504,0.327569,0.680701,0.579171,0.591723,0.468783,0.444376,0.425829,0.38831,0.468319,0.470594,0.470397
0.110593,0.187961,0.327223,0.687428,0.57978,0.59568,0.470318,0.445526,0.425831,0.387445,0.46704,0.470262,0.470962
