train_acc,valid_acc,test_acc,test_mid_0_acc,test_mid_1_acc,test_mid_2_acc,test_mid_3_acc,test_mid_4_acc,test_mid_5_acc,test_mid_6_acc,test_mid_7_acc,test_mid_8_acc,test_mid_9_acc
0.822975,0.816565,0.92017,0.7535499999999999,0.7644,0.7803,0.82045,0.85135,0.87725,0.8802,0.8653,0.8522000000000001,0.84375
0.868142,0.858365,0.92179,0.7385999999999999,0.7512,0.7817000000000001,0.8208,0.84995,0.87735,0.8866499999999999,0.86685,0.84415,0.8442000000000001
0.892023,0.881065,0.91975,0.73455,0.7423500000000001,0.7796,0.8259,0.8434,0.8728,0.88955,0.8629,0.8422000000000001,0.8362
0.9087933,0.895945,0.91788,0.73165,0.7374499999999999,0.7823,0.82395,0.8392999999999999,0.8713,0.8887,0.86315,0.84,0.8351999999999999
0.9208667,0.907035,0.916265,0.7226,0.7383500000000001,0.783,0.82465,0.8363,0.8707,0.88885,0.8559,0.8417,0.83445
0.9304583,0.91584,0.91724,0.72595,0.73455,0.776,0.8268,0.8339,0.8714999999999999,0.888,0.85705,0.8398,0.8321000000000001
0.9379967,0.922195,0.9162,0.7223999999999999,0.7343500000000001,0.7766,0.82745,0.83355,0.87505,0.88385,0.85855,0.83495,0.8327
0.9444183,0.92763,0.915035,0.72075,0.72925,0.7735,0.8297,0.8344,0.87285,0.8835,0.85575,0.8375,0.82755
0.9496367,0.93171,0.914725,0.7229,0.72605,0.7713,0.8331,0.835,0.87285,0.88265,0.8504,0.8343,0.8240000000000001
0.95426,0.935705,0.91441,0.72355,0.72595,0.7691,0.83205,0.83595,0.8735999999999999,0.8837,0.84795,0.83655,0.82395
0.9579833,0.93868,0.91413,0.71925,0.72475,0.7686999999999999,0.8318,0.83705,0.8743,0.88265,0.8492999999999999,0.8331500000000001,0.8239
0.961805,0.94168,0.914295,0.72085,0.7253499999999999,0.76935,0.83375,0.83405,0.87355,0.8832,0.84855,0.8311999999999999,0.82445
0.9650233,0.94422,0.91387,0.7206,0.7274499999999999,0.76865,0.8326,0.83345,0.8725499999999999,0.8853,0.8463,0.83065,0.82715
0.967765,0.946095,0.914865,0.721,0.72835,0.76845,0.8347,0.8331999999999999,0.8713,0.88545,0.8477,0.82965,0.82865
0.9702533,0.94781,0.914655,0.7195,0.7296,0.7637,0.839,0.8337,0.8741,0.8877,0.8475,0.8289,0.83235
0.97255,0.949465,0.91475,0.7200500000000001,0.7312000000000001,0.7608,0.8376,0.8381000000000001,0.8749,0.88955,0.84715,0.82685,0.83525
0.9746567,0.951345,0.9146,0.71885,0.7314,0.76315,0.8392,0.83585,0.8728,0.8903,0.8441,0.8279,0.83395
0.976555,0.95279,0.914675,0.7194,0.7299,0.7656499999999999,0.8383,0.8361000000000001,0.8732,0.8901,0.8435,0.83035,0.83475
0.9783783,0.954005,0.91636,0.7160500000000001,0.73115,0.7677499999999999,0.8371,0.8368,0.8734,0.8909,0.8463,0.8291,0.8363
0.9799917,0.955195,0.915575,0.7161,0.7335,0.7662,0.83765,0.838,0.8738,0.8899,0.84705,0.8267,0.8351999999999999
0.9813583,0.95615,0.915645,0.71785,0.73275,0.7665,0.83575,0.8377,0.87525,0.88985,0.8468,0.825,0.83495
