train_auc,valid_auc,test_auc,test_mid_0_auc,test_mid_1_auc,test_mid_2_auc,test_mid_3_auc,test_mid_4_auc,test_mid_5_auc,test_mid_6_auc,test_mid_7_auc,test_mid_8_auc,test_mid_9_auc
0.906652,0.899641,0.721412,0.731993,0.767823,0.624692,0.575287,0.708807,0.605135,0.683843,0.687605,0.562002,0.509031
0.942954,0.935194,0.721182,0.754174,0.739532,0.627982,0.583731,0.726902,0.62323,0.68253,0.701135,0.54347,0.51527
0.960288,0.95186,0.712809,0.75557,0.72226,0.626982,0.579942,0.711546,0.631938,0.680803,0.705412,0.535946,0.516565
0.97062,0.961879,0.711502,0.758942,0.720833,0.607168,0.602909,0.71544,0.635109,0.670799,0.705068,0.543689,0.52123
0.977265,0.968477,0.704414,0.74505,0.710174,0.608774,0.614676,0.717859,0.636175,0.667249,0.698081,0.556168,0.518661
0.982029,0.973487,0.705375,0.740963,0.709752,0.608573,0.616004,0.710894,0.635213,0.671274,0.692222,0.555803,0.508528
0.985404,0.976965,0.704416,0.730889,0.715037,0.616572,0.622094,0.709688,0.64689,0.660005,0.687119,0.54664,0.515679
0.988041,0.97985,0.7053,0.731591,0.700032,0.618524,0.620536,0.708982,0.647659,0.667097,0.677528,0.561745,0.482192
0.990073,0.982062,0.705454,0.72655,0.704765,0.620424,0.626316,0.715857,0.641693,0.668937,0.665388,0.560027,0.46429
0.991687,0.983848,0.702287,0.72508,0.712184,0.619907,0.62495,0.719549,0.639782,0.660721,0.65702,0.548744,0.472766
0.992988,0.985327,0.702049,0.718842,0.709698,0.614745,0.615131,0.718545,0.639454,0.663743,0.664232,0.539545,0.472008
0.994062,0.986565,0.700341,0.721411,0.706379,0.619593,0.624345,0.713013,0.635682,0.661398,0.669967,0.536204,0.465333
0.994951,0.98759,0.699084,0.713077,0.704152,0.618099,0.61983,0.705327,0.631531,0.670483,0.661428,0.531653,0.468728
0.995667,0.988419,0.701118,0.713219,0.697466,0.612007,0.620568,0.700403,0.630518,0.671447,0.66427,0.53426,0.47456
0.996299,0.989198,0.700334,0.70714,0.702171,0.611113,0.621965,0.700779,0.63367,0.672085,0.668031,0.534923,0.475969
0.996833,0.989872,0.699426,0.705481,0.695599,0.608153,0.624473,0.705106,0.630011,0.674953,0.666307,0.516542,0.475756
0.997266,0.990456,0.698887,0.704792,0.699265,0.609412,0.629624,0.704535,0.632319,0.667669,0.663818,0.515968,0.463871
0.997637,0.990938,0.699357,0.700242,0.69872,0.610879,0.624589,0.70364,0.638013,0.661439,0.655178,0.506154,0.45621
0.99796,0.991371,0.700221,0.707155,0.700692,0.616414,0.621356,0.705435,0.634362,0.661856,0.658282,0.507271,0.455496
0.998236,0.991779,0.698093,0.702677,0.699103,0.612833,0.623906,0.707184,0.635271,0.659088,0.660241,0.498785,0.447142
0.998471,0.99212,0.698726,0.696589,0.69491,0.614779,0.621301,0.707955,0.63686,0.657543,0.660855,0.498347,0.440663
0.998668,0.992431,0.694092,0.693295,0.696243,0.620209,0.620777,0.708126,0.632794,0.654354,0.654997,0.492912,0.436736
0.998849,0.992729,0.695235,0.692526,0.703117,0.620632,0.619329,0.707259,0.632821,0.654974,0.653889,0.494837,0.434908
0.999005,0.992998,0.692,0.692996,0.699995,0.617906,0.621121,0.707032,0.631157,0.651904,0.64944,0.496965,0.42731
0.999142,0.993234,0.690245,0.693719,0.698571,0.615913,0.619971,0.703178,0.632917,0.64621,0.648612,0.492502,0.428108
0.999258,0.993422,0.690377,0.689593,0.700658,0.616799,0.61739,0.702076,0.636262,0.647377,0.650971,0.497631,0.431441
0.999364,0.993627,0.690749,0.686746,0.700687,0.618098,0.615264,0.703615,0.636707,0.646732,0.652784,0.50147,0.437008
