train_logloss,valid_logloss,test_logloss,test_mid_0_logloss,test_mid_1_logloss,test_mid_2_logloss,test_mid_3_logloss,test_mid_4_logloss,test_mid_5_logloss,test_mid_6_logloss,test_mid_7_logloss,test_mid_8_logloss,test_mid_9_logloss
0.443234,0.450034,0.359837,0.569946,0.559933,0.539742,0.492282,0.463771,0.43843,0.428339,0.439141,0.473295,0.461936
0.370121,0.380585,0.324769,0.574323,0.562289,0.526165,0.478214,0.443555,0.4117,0.395819,0.410883,0.457291,0.44377
0.324746,0.338455,0.312345,0.583598,0.565358,0.527887,0.470174,0.439048,0.405511,0.377195,0.40733,0.452128,0.439467
0.290722,0.307261,0.304787,0.587013,0.571307,0.528806,0.460704,0.440517,0.400363,0.370951,0.404218,0.450915,0.437487
0.264032,0.282884,0.300529,0.594082,0.57095,0.533001,0.455281,0.438662,0.396936,0.364771,0.404709,0.444942,0.437055
0.241968,0.262509,0.293746,0.592256,0.574597,0.534849,0.451448,0.431421,0.390255,0.362778,0.403353,0.443092,0.432615
0.22382,0.246139,0.289731,0.596757,0.5756,0.537408,0.450897,0.431762,0.382625,0.36731,0.399317,0.443889,0.429699
0.206889,0.230729,0.286298,0.603092,0.578669,0.54303,0.449806,0.430709,0.383754,0.363665,0.400608,0.440453,0.434801
0.1926,0.217991,0.282766,0.602682,0.582061,0.54765,0.444153,0.431217,0.384105,0.362689,0.405033,0.442945,0.438217
0.180267,0.20707,0.279677,0.603343,0.579001,0.549309,0.444507,0.425268,0.379586,0.360878,0.405309,0.43796,0.436837
0.168803,0.196949,0.277598,0.614528,0.581503,0.555575,0.445717,0.421162,0.378861,0.359418,0.402901,0.441962,0.434531
0.158571,0.188085,0.275008,0.618012,0.587599,0.555487,0.443787,0.427112,0.378615,0.35986,0.404292,0.439586,0.433998
0.149228,0.180042,0.273097,0.621443,0.587401,0.559565,0.44874,0.430577,0.376487,0.353063,0.407218,0.443561,0.433086
0.141235,0.173279,0.270166,0.626355,0.585975,0.563319,0.447753,0.43076,0.374245,0.349311,0.40606,0.443159,0.428036
0.133688,0.1669,0.266993,0.63305,0.585594,0.564653,0.440933,0.428751,0.370476,0.345729,0.404841,0.442121,0.420563
0.126727,0.161021,0.265528,0.636427,0.589527,0.567848,0.442051,0.423978,0.369061,0.342651,0.406175,0.441162,0.418389
0.120282,0.155534,0.263356,0.641046,0.591792,0.568651,0.439092,0.425225,0.369658,0.339467,0.411753,0.440774,0.415781
0.114499,0.150836,0.261676,0.645247,0.593109,0.568319,0.439579,0.425065,0.367248,0.339805,0.41211,0.439892,0.415657
0.109019,0.146334,0.258761,0.652335,0.596919,0.56094,0.441286,0.422163,0.37134,0.337063,0.409336,0.436051,0.41447
0.104056,0.142253,0.258408,0.655762,0.596744,0.561834,0.440779,0.419843,0.371475,0.338779,0.408694,0.439474,0.413955
0.0993711,0.138475,0.256255,0.655187,0.598149,0.564164,0.44393,0.41861,0.371259,0.337896,0.408824,0.441736,0.411697
0.0950626,0.134949,0.255927,0.654554,0.600531,0.564261,0.441609,0.418536,0.371204,0.337815,0.408205,0.442912,0.412048
0.0908128,0.131555,0.254426,0.655477,0.599399,0.569376,0.442808,0.421583,0.370744,0.339956,0.407085,0.443253,0.411604
0.086902,0.12843,0.253503,0.65336,0.600093,0.572939,0.442282,0.422018,0.369605,0.341208,0.408707,0.441339,0.411488
0.0831406,0.12548,0.252422,0.652329,0.601003,0.572034,0.440307,0.424081,0.367317,0.339525,0.410965,0.442065,0.408816
0.0797036,0.122884,0.250897,0.662631,0.601817,0.57417,0.438285,0.422432,0.36828,0.337551,0.409384,0.44106,0.409665
0.0763405,0.120215,0.249649,0.665185,0.603677,0.575091,0.43867,0.42519,0.366131,0.337498,0.409731,0.442937,0.410143
0.0732851,0.117861,0.24898,0.669152,0.604538,0.575317,0.438496,0.424559,0.365577,0.337606,0.411631,0.442566,0.41313
0.0703031,0.115544,0.246247,0.670604,0.604021,0.578031,0.439832,0.423453,0.364504,0.336207,0.412118,0.445769,0.41233
0.0673956,0.113292,0.246858,0.674353,0.605699,0.58065,0.442262,0.425241,0.364006,0.336579,0.41494,0.4453,0.410249
0.0648043,0.111354,0.246105,0.675443,0.602912,0.581582,0.445434,0.425731,0.364123,0.333352,0.413647,0.444739,0.408917
0.0622767,0.109405,0.245544,0.679356,0.606966,0.582686,0.4476,0.424227,0.365902,0.332366,0.412247,0.448044,0.409329
0.059876,0.107532,0.245136,0.681003,0.606597,0.593745,0.449526,0.424955,0.36637,0.331169,0.410727,0.449225,0.408012
0.0575809,0.105886,0.242856,0.67957,0.6039,0.592781,0.444941,0.422397,0.366555,0.330512,0.410278,0.44894,0.408065
0.0554649,0.104357,0.241924,0.681704,0.607638,0.593029,0.443548,0.420979,0.366739,0.329365,0.409344,0.450627,0.405462
0.0534247,0.102823,0.241044,0.6829,0.610421,0.597792,0.443967,0.421909,0.366365,0.326456,0.41182,0.456859,0.40719
0.0513898,0.101278,0.240032,0.685873,0.611411,0.597647,0.442832,0.42094,0.364672,0.326788,0.412436,0.452857,0.40745
0.0495116,0.0999423,0.239489,0.688616,0.6147,0.601604,0.445347,0.419535,0.36334,0.325901,0.412493,0.450166,0.406665
0.0476716,0.0985885,0.238819,0.689347,0.615924,0.603789,0.445479,0.418765,0.36231,0.32487,0.41294,0.45251,0.403274
0.0458961,0.0973111,0.238112,0.690019,0.619899,0.606011,0.448391,0.416815,0.36272,0.325015,0.415592,0.455442,0.40524
0.0442246,0.0960992,0.237164,0.69139,0.616443,0.604389,0.447321,0.416269,0.362127,0.322794,0.412198,0.455792,0.402717
0.0426483,0.0949523,0.237338,0.695502,0.618058,0.605271,0.448043,0.416342,0.362142,0.323643,0.413943,0.457724,0.403767
0.0411447,0.0938294,0.236843,0.694867,0.62062,0.607713,0.450272,0.417304,0.361649,0.324023,0.41484,0.454923,0.403999
0.0396833,0.0928147,0.236467,0.695773,0.622303,0.607342,0.449147,0.420279,0.361531,0.32432,0.415572,0.455645,0.404084
0.0383258,0.0918366,0.235074,0.697748,0.619593,0.603953,0.447387,0.419398,0.362055,0.322449,0.414269,0.453315,0.40203
0.0369658,0.0908841,0.234717,0.698372,0.621136,0.605412,0.447501,0.417068,0.361448,0.321105,0.41532,0.45496,0.402674
0.0356685,0.090017,0.234324,0.697956,0.620623,0.608003,0.446992,0.416445,0.360385,0.320407,0.413023,0.453795,0.401856
0.0344548,0.0891752,0.233794,0.695677,0.623242,0.608127,0.446573,0.416718,0.3595,0.319385,0.413278,0.45403,0.401659
0.0333097,0.0883658,0.233365,0.696532,0.625527,0.609254,0.447583,0.416068,0.360225,0.321522,0.414763,0.454233,0.402255
0.0322021,0.0876485,0.233315,0.702278,0.630485,0.607511,0.449498,0.415454,0.361209,0.323355,0.413934,0.456295,0.404557
0.0311314,0.0869746,0.232717,0.703435,0.63107,0.608863,0.449582,0.416513,0.358911,0.321851,0.415725,0.455797,0.405151
