train_acc,valid_acc,test_acc,test_mid_0_acc,test_mid_1_acc,test_mid_2_acc,test_mid_3_acc,test_mid_4_acc,test_mid_5_acc,test_mid_6_acc,test_mid_7_acc,test_mid_8_acc,test_mid_9_acc
0.767375,0.76593,0.903725,0.79565,0.70305,0.76425,0.81455,0.86495,0.8741,0.84535,0.82,0.79335,0.85475
0.8169283333333334,0.81353,0.904105,0.7618,0.7211,0.715,0.8037,0.86055,0.8654,0.8408,0.82415,0.81115,0.8566
0.87345,0.867715,0.85593,0.7578,0.63915,0.6671,0.74225,0.77655,0.77945,0.76825,0.75635,0.78485,0.7961
0.897585,0.89163,0.81851,0.70825,0.608,0.62835,0.7295,0.71065,0.7443,0.73195,0.7258,0.7479,0.73595
0.9096133333333334,0.90191,0.81504,0.68955,0.59585,0.6244,0.7316,0.7392,0.74915,0.7131,0.72055,0.7083,0.71695
0.9068283333333333,0.89907,0.816245,0.75175,0.67975,0.6255,0.73785,0.74265,0.77995,0.74575,0.72565,0.7748,0.7757
0.917585,0.90856,0.815125,0.7699,0.6378,0.6614,0.7474,0.74705,0.7607,0.7565,0.7255,0.77235,0.7863
0.9222533333333334,0.91341,0.809625,0.72425,0.6399,0.6345,0.7269,0.75295,0.7375,0.734,0.71565,0.7696,0.7837
0.9302633333333333,0.921155,0.82145,0.73695,0.692,0.6453,0.7432,0.76765,0.78745,0.75655,0.71915,0.7899,0.81035
0.9391433333333333,0.92888,0.786015,0.7097,0.6569,0.6297,0.7261,0.68505,0.7588,0.74295,0.70115,0.7734,0.7739
0.94028,0.92935,0.801035,0.6833,0.67445,0.643,0.725,0.72175,0.76815,0.75885,0.7196,0.78295,0.78745
0.9394783333333333,0.928455,0.81222,0.74265,0.68375,0.6578,0.7435,0.7465,0.7953,0.76415,0.72805,0.78965,0.8012
0.9420866666666666,0.93084,0.79566,0.7116,0.67255,0.6578,0.73955,0.75245,0.80015,0.75975,0.68285,0.78395,0.7819
0.9467716666666667,0.934605,0.81628,0.7454,0.66775,0.68945,0.7477,0.7547,0.78245,0.767,0.7305,0.7896,0.80185
0.9482566666666666,0.935945,0.7994,0.71695,0.6544,0.66875,0.7435,0.7485,0.75635,0.77425,0.725,0.77995,0.7855
0.9507083333333334,0.937915,0.801445,0.7241,0.66655,0.66395,0.73425,0.74515,0.7654,0.7709,0.7296,0.76455,0.7871
0.9479433333333334,0.935605,0.800135,0.72775,0.6532,0.6618,0.73485,0.7316,0.76835,0.7753,0.7381,0.79075,0.7951
0.949585,0.93689,0.8286,0.75155,0.6803,0.66325,0.75905,0.7685,0.78215,0.7988,0.7547,0.7902,0.8108
0.9417483333333333,0.92956,0.84235,0.747,0.69865,0.7042,0.7734,0.78035,0.80625,0.8104,0.77605,0.83255,0.8491
0.9412333333333334,0.929045,0.83872,0.7568,0.6942,0.69805,0.7735,0.7632,0.81755,0.80385,0.7642,0.8066,0.8364
0.9483283333333333,0.935135,0.820155,0.7416,0.67535,0.67565,0.75045,0.7421,0.79975,0.77535,0.76785,0.8101,0.83985
0.94705,0.93455,0.816185,0.7492,0.67315,0.67215,0.76205,0.74365,0.7656,0.78835,0.75625,0.79455,0.82515
0.9525366666666667,0.939445,0.809485,0.72875,0.661,0.6544,0.7003,0.7375,0.75405,0.77755,0.756,0.78375,0.8148
0.953705,0.940345,0.81677,0.7242,0.66295,0.69235,0.7251,0.7315,0.7936,0.7687,0.76855,0.81045,0.83435
0.9552116666666667,0.94114,0.80147,0.69,0.6638,0.6693,0.6921,0.7258,0.76035,0.7442,0.76325,0.80375,0.81325
0.9508383333333333,0.93794,0.78069,0.6467,0.6411,0.63535,0.6365,0.68675,0.7103,0.7479,0.74685,0.7467,0.7747
0.9569616666666667,0.943205,0.808045,0.689,0.6475,0.63745,0.6725,0.7138,0.73545,0.7564,0.75655,0.7984,0.80455
0.9560183333333333,0.942555,0.792,0.66505,0.6144,0.61345,0.673,0.7085,0.72315,0.7457,0.7383,0.7727,0.76835
0.9511666666666667,0.938225,0.76032,0.6242,0.5767,0.57705,0.618,0.6452,0.6617,0.7115,0.71725,0.7417,0.74085
0.9539433333333334,0.94042,0.76022,0.64205,0.6122,0.57875,0.6622,0.6634,0.6776,0.72455,0.69425,0.7472,0.74205
0.9561583333333333,0.942435,0.77517,0.63345,0.6164,0.6205,0.65415,0.6752,0.69855,0.7304,0.72595,0.7636,0.7655
0.94822,0.93495,0.75722,0.60325,0.57375,0.60605,0.6347,0.65295,0.6691,0.7251,0.70775,0.72695,0.73125
0.9529266666666667,0.939305,0.77467,0.63315,0.59725,0.60245,0.65925,0.6482,0.6957,0.7425,0.69235,0.73465,0.76635
0.944625,0.9319,0.752165,0.5774,0.54605,0.5456,0.60295,0.6448,0.6534,0.7157,0.68385,0.70495,0.726
0.9526333333333333,0.939035,0.74968,0.5998,0.5426,0.55255,0.6376,0.6433,0.67315,0.71815,0.6745,0.706,0.729
0.953785,0.94023,0.75959,0.6183,0.5665,0.5717,0.6474,0.66185,0.6783,0.74505,0.67105,0.72875,0.7435
0.95109,0.937665,0.741445,0.59385,0.57435,0.54735,0.61315,0.62785,0.6547,0.70335,0.6672,0.68155,0.73435
0.9584216666666666,0.94426,0.74901,0.6176,0.5821,0.5785,0.64,0.6333,0.6683,0.72505,0.67305,0.7059,0.75105
0.9501366666666666,0.93665,0.75695,0.60455,0.5583,0.5718,0.6233,0.613,0.68535,0.72115,0.66245,0.7077,0.7482
0.953345,0.939205,0.749885,0.6227,0.5428,0.55575,0.61425,0.6033,0.68195,0.7053,0.66745,0.7093,0.7349
0.9603483333333334,0.945305,0.768165,0.65055,0.58645,0.6111,0.63535,0.6411,0.6886,0.7343,0.68825,0.7213,0.75245
0.96222,0.94697,0.75099,0.64605,0.56805,0.59095,0.60395,0.6237,0.66245,0.7338,0.66915,0.69605,0.73535
0.9577116666666666,0.94301,0.744655,0.6176,0.53915,0.5695,0.61785,0.5924,0.63945,0.7229,0.6717,0.68115,0.7328
0.9604183333333334,0.94525,0.77613,0.65355,0.56155,0.5937,0.6459,0.6395,0.67155,0.75175,0.6975,0.7487,0.75175
0.96478,0.949515,0.7768,0.66735,0.56435,0.59845,0.6408,0.6399,0.6738,0.7553,0.6787,0.7375,0.7473
0.9652966666666667,0.94934,0.796415,0.6878,0.5745,0.6347,0.6574,0.6597,0.6981,0.7653,0.71425,0.75425,0.7654
0.95801,0.94311,0.76241,0.649,0.54105,0.59435,0.6452,0.62305,0.658,0.75215,0.67835,0.7135,0.73475
0.952625,0.93834,0.74263,0.60855,0.5439,0.56915,0.6138,0.60425,0.61185,0.7223,0.6663,0.69875,0.7052
0.9630266666666667,0.94723,0.791435,0.7017,0.5731,0.6475,0.66935,0.6775,0.7068,0.7759,0.68985,0.7572,0.7814
0.967675,0.951315,0.802845,0.69735,0.5859,0.6538,0.68615,0.69025,0.71815,0.76225,0.6982,0.7742,0.78875
0.9657016666666667,0.949415,0.795265,0.70125,0.5825,0.65675,0.65705,0.67405,0.6995,0.7632,0.6965,0.74115,0.7735
0.96428,0.94843,0.782485,0.68085,0.5723,0.62915,0.6522,0.64,0.6941,0.7486,0.6863,0.73615,0.7679
0.962455,0.945935,0.80597,0.7149,0.5933,0.64735,0.70565,0.67875,0.7197,0.77625,0.6991,0.7519,0.80065
0.96542,0.949295,0.79719,0.6884,0.5875,0.6227,0.6884,0.68575,0.71095,0.78205,0.6952,0.73305,0.7808
0.9632916666666667,0.947545,0.789295,0.6933,0.59285,0.6307,0.6747,0.6808,0.69465,0.76015,0.6758,0.7405,0.7814
0.96892,0.95242,0.798525,0.70985,0.5958,0.66545,0.6989,0.6998,0.713,0.77095,0.68985,0.7602,0.79005
0.964875,0.94823,0.813485,0.72865,0.5999,0.66705,0.7014,0.7197,0.7628,0.78195,0.7264,0.78795,0.80185
0.9606216666666667,0.94488,0.81703,0.73685,0.6328,0.68265,0.71185,0.70985,0.74425,0.79085,0.7209,0.7723,0.8082
0.9630533333333333,0.9477,0.816845,0.7289,0.63105,0.6662,0.70255,0.70365,0.72675,0.788,0.7137,0.7694,0.7988
0.9655833333333333,0.948765,0.822015,0.75635,0.6276,0.68325,0.7348,0.72955,0.7586,0.79575,0.737,0.7989,0.8039
0.9644216666666666,0.948585,0.79786,0.7297,0.60765,0.66305,0.7027,0.69585,0.71505,0.775,0.7127,0.7544,0.78965
0.9624033333333334,0.94625,0.820125,0.7476,0.64915,0.69465,0.75525,0.72445,0.751,0.80415,0.73045,0.7836,0.81315
0.9660733333333333,0.94891,0.8085,0.71715,0.61395,0.67445,0.72925,0.7071,0.73995,0.7842,0.72855,0.7528,0.8008
0.9667316666666667,0.950325,0.805765,0.7262,0.61,0.6595,0.70425,0.70555,0.72935,0.7788,0.7206,0.75845,0.79215
0.964815,0.94809,0.798775,0.70845,0.59615,0.6536,0.712,0.68155,0.72955,0.7716,0.737,0.7468,0.7903
0.9651983333333334,0.948895,0.81142,0.7269,0.61635,0.6758,0.7074,0.72285,0.72365,0.7824,0.72395,0.74605,0.7818
0.9669366666666667,0.950155,0.80653,0.73085,0.62475,0.6614,0.7071,0.7103,0.72195,0.79145,0.72475,0.76085,0.81595
0.96458,0.948635,0.78522,0.7059,0.59615,0.64205,0.6888,0.6786,0.6946,0.77515,0.70545,0.7499,0.7655
0.9689983333333333,0.951815,0.80395,0.71775,0.6151,0.6604,0.7133,0.6984,0.7238,0.79685,0.715,0.7573,0.81185
0.96069,0.94499,0.818985,0.7401,0.632,0.65745,0.7231,0.718,0.7309,0.78205,0.7226,0.77575,0.8162
0.9632483333333334,0.94839,0.80055,0.7131,0.61635,0.6235,0.72215,0.6924,0.71635,0.76775,0.7276,0.74415,0.80985
0.9642583333333333,0.947995,0.79031,0.68975,0.6019,0.6204,0.69805,0.6926,0.6999,0.77745,0.72635,0.7451,0.79995
0.96384,0.94738,0.797385,0.70865,0.60115,0.61965,0.70755,0.6826,0.71175,0.78585,0.70535,0.73895,0.79805
